participant_id,parameter,true_value
P022,b,0.34840570337049065
P023,omega_2,-4.0022816843278335
P023,beta,2.0145583348056397
P023,b,0.03347436850103668
P024,omega_2,-3.1993353349973175
P024,beta,1.6643983396188289
P024,b,-0.06956968584745024
P025,omega_2,-2.590901652764239
P025,beta,2.4632081858185817
P025,b,-0.6018323654137397
P026,omega_2,-3.403018214379503
P026,beta,2.0716891822103185
P026,b,-0.20332913918147066
P027,omega_2,-2.689893378281975
P027,beta,2.2432774102882163
P027,b,0.5593595750218789
P028,omega_2,-2.4097880565450422
P028,beta,1.6655111148883681
P028,b,0.16854444632698837
P029,omega_2,-2.45529732773067
P029,beta,2.25100702054174
P029,b,0.05592386888916638
P030,omega_2,-2.400398510500181
P030,beta,1.7890516984591915
P030,b,0.036317407921975894
P031,omega_2,-3.1290509090681833
P031,beta,1.5881746755326596
P031,b,0.6211753756787027
P032,omega_2,-3.3721967918255475
P032,beta,2.6401918241218554
P032,b,-0.2949902821054598
P033,omega_2,-1.8617233336618355
P033,beta,1.3067518197952452
P033,b,-0.15768150736933914
P034,omega_2,-2.463124185618575
P034,beta,1.7963158201830283
P034,b,0.5694752730976422
P035,omega_2,-2.148975546262792
P035,beta,1.3028620664667496
P035,b,0.1193331659925939
P036,omega_2,-3.2937468996941055
P036,beta,2.1891386254533414
P036,b,-0.049105496317551615
P037,omega_2,-3.0629830081508067
P037,beta,1.3541666371053964
P037,b,-0.09069467990608841
P038,omega_2,-2.448669338474094
P038,beta,1.704558593690924
P038,b,0.0586290979092539
P039,omega_2,-2.7395684852454956
P039,beta,1.8849082057628963
P039,b,-0.7266931115932437
P040,omega_2,-2.76904198629407
P040,beta,2.8072463249978497
P040,b,0.274104460270983
P041,omega_2,-2.380514259633827
P041,beta,3.9391423344088765
P041,b,0.7220068840106658
P042,omega_2,-4.0371634845883975
P042,beta,3.253374475573764
P042,b,-0.19840734917992608
P043,omega_2,-2.2432903417731804
P043,beta,3.9855439176871137
P043,b,1.0465730689420194
P044,omega_2,-3.282187099376957
P044,beta,3.52473751206346
P044,b,0.13404327435791863
P045,omega_2,-3.329754659980308
P045,beta,3.2231064765070374
P045,b,0.3557412252010566
P046,omega_2,-3.6152961499396286
P046,beta,3.166128028567705
P046,b,0.27916806055121896
P047,omega_2,-2.877386654784092
P047,beta,2.335325114121524
P047,b,0.6121952944054221
P048,omega_2,-2.749913171283186
P048,beta,3.3543828332666754
P048,b,0.8562092016358314
P049,omega_2,-2.382198753950221
P049,beta,3.016939552869175
P049,b,0.16423326179993494
P050,omega_2,-3.10067927789026
P050,beta,2.4991334448263984
P050,b,0.6801772758645859
P051,omega_2,-3.2563716648923524
P051,beta,3.1423106019897378
P051,b,0.18098346230278334
P052,omega_2,-3.7162870025922983
P052,beta,2.7789759245173484
P052,b,0.003913201783997511
P053,omega_2,-3.4864651140472187
P053,beta,4.293254753127419
P053,b,0.14740263077991592
P054,omega_2,-2.2260557068960622
P054,beta,3.186747740427097
P054,b,0.6429267071461527
P055,omega_2,-3.0552443065581167
P055,beta,3.9911412266690256
P055,b,0.6850347706788875
P056,omega_2,-2.443670259874348
P056,beta,3.10890219267346
P056,b,0.9636886142565295
P057,omega_2,-3.5688939027601125
P057,beta,4.006355049341094
P057,b,0.19191569524930047
P058,omega_2,-2.844222872928473
P058,beta,3.0631454800486733
P058,b,0.1624664845875015
P059,omega_2,-1.9220741210706351
P059,beta,4.327464644707824
P059,b,-0.18286566180011693
P060,omega_2,-3.004848363608001
P060,beta,3.2393768334722064
P060,b,0.01718058031981079
P061,omega_2,-2.6231840634523715
P061,beta,3.3460869078379014
P061,b,0.6226187337756403
P062,omega_2,-3.3821190899930476
P062,beta,3.49386930486849
P062,b,0.26002679858723593
P063,omega_2,-2.7358333874190386
P063,beta,2.790755283231647
P063,b,0.686933413059715
P064,omega_2,-2.5198770009315177
P064,beta,3.242443632066558
P064,b,0.8772612302906664
P065,omega_2,-2.5138658378957475
P065,beta,3.8942772916777586
P065,b,0.6618746399821093
P066,omega_2,-3.441095495817743
P066,beta,3.6186109919354563
P066,b,0.5556920347111616
P067,omega_2,-2.2743512455539663
P067,beta,3.552630876832189
P067,b,0.5288240682298408
P068,omega_2,-1.9549862776713385
P068,beta,3.7286357438418114
P068,b,0.5791869904747835
P069,omega_2,-3.4611526810385684
P069,beta,3.5559968593445976
P069,b,0.5628933792504184
P070,omega_2,-3.1816293368332924
P070,beta,3.7859929499881817
P070,b,0.05003819588528147
P071,omega_2,-3.6752180579949894
P071,beta,3.056422976648167
P071,b,1.086552859595559
P072,omega_2,-3.014374770455503
P072,beta,3.2835936339177993
P072,b,1.2820346239660967
P073,omega_2,-3.3455872039414243
P073,beta,4.079440414628145
P073,b,-1.3386704520925958
P074,omega_2,-2.143522156935706
P074,beta,3.7044910830466846
P074,b,0.8555884304205328
P075,omega_2,-3.438185773157401
P075,beta,3.6347992055071505
P075,b,0.2451049990748732
P076,omega_2,-2.486282280570321
P076,beta,3.5977550206244864
P076,b,-0.2688041185426863
P077,omega_2,-1.9772352240459732
P077,beta,3.3289780063044354
P077,b,0.5670084837097643
P078,omega_2,-3.5154528247592056
P078,beta,3.808138025241475
P078,b,-0.3145482012573017
P079,omega_2,-3.3569679093336466
P079,beta,3.146996174032326
P079,b,0.16833413321020949
P080,omega_2,-1.6939571845327976
P080,beta,1.4180867895313747
P080,b,0.49296364305147805
P081,omega_2,-1.761305912632525
P081,beta,2.4684205148471046
P081,b,-0.4993602808930453
P082,omega_2,-2.8444488524083114
P082,beta,1.7730149862540416
P082,b,0.0991652453424875
P083,omega_2,-2.5000195278399775
P083,beta,1.809422972240367
P083,b,-0.3896408668481459
P084,omega_2,-1.2568589180887701
P084,beta,2.2299980824910337
P084,b,-0.3076809939668421
P085,omega_2,-2.0725211294401116
P085,beta,1.9551570783935976
P085,b,-0.18136616024883945
P086,omega_2,-1.5501770657270388
P086,beta,2.1665083728434595
P086,b,0.3623678036967443
P087,omega_2,-2.2658359081992567
P087,beta,2.3344260966299197
P087,b,-0.2189988807601242
P088,omega_2,-1.6125464250279407
P088,beta,2.303452869017941
P088,b,-0.20984402628481774
P089,omega_2,-1.5032600512923762
P089,beta,0.906986714776941
P089,b,-0.03742613628729041
P090,omega_2,-2.185008362102719
P090,beta,1.6028157315727631
P090,b,-1.0150866752814778
P091,omega_2,-1.9076117273619002
P091,beta,1.88311305751952
P091,b,-0.43425366762647677
P092,omega_2,-2.84793030910626
P092,beta,2.110562139701468
P092,b,-0.3415396117417486
P093,omega_2,-2.2111887022803183
P093,beta,1.8659346586190155
P093,b,0.8329290636773428
P094,omega_2,-2.0902327668820333
P094,beta,1.9678280102571553
P094,b,-0.8312006421805849
P095,omega_2,-1.6229543623836384
P095,beta,1.7090013291127542
P095,b,-0.4894725415632474
P096,omega_2,-1.5849997027203062
P096,beta,1.7384136864458029
P096,b,-0.12612210466715357
P097,omega_2,-1.1514980865045001
P097,beta,2.25608214738818
P097,b,-0.08558228916308117
P098,omega_2,-2.5175850724996964
P098,beta,2.5446001874982196
P098,b,-0.18869989525477399
P099,omega_2,-3.0551538564881486
P099,beta,2.4045979481082744
P099,b,-0.3530978994677462
P100,omega_2,-2.2298277715888437
P100,beta,1.9370966781021446
P100,b,0.9901692436179363
P101,omega_2,-1.563329310700313
P101,beta,1.8495498138703408
P101,b,-0.22605396043412188
P102,omega_2,-2.3880473269801428
P102,beta,1.8255728473364774
P102,b,-0.734479564384217
P103,omega_2,-1.578778713537702
P103,beta,1.563793810934725
P103,b,0.290000411797432
P104,omega_2,-2.0312191898023695
P104,beta,1.6233822712476595
P104,b,-0.7346495929828092
P105,omega_2,-2.3134631030006236
P105,beta,1.8755118925957068
P105,b,-0.2057761090875297
P106,omega_2,-2.3298998244335904
P106,beta,2.5680941817756953
P106,b,0.5882208132895823
P107,omega_2,-2.21100929165619
P107,beta,2.2990369487270677
P107,b,-0.2514615543688962
P108,omega_2,-1.6637878437867157
P108,beta,1.9741221440267143
P108,b,-0.1598030595355949
P109,omega_2,-1.8172907347054679
P109,beta,1.9604730775562973
P109,b,-0.012082972615344911
P110,omega_2,-2.1036167738467624
P110,beta,1.9222215614638893
P110,b,0.6314013288458491
P111,omega_2,-2.269740187109027
P111,beta,2.303245511035109
P111,b,-0.58522456626736
P112,omega_2,-2.5003929453387164
P112,beta,2.1205373880202125
P112,b,1.7419949513811945
P113,omega_2,-1.0772092050822955
P113,beta,1.5255946490844812
P113,b,0.17948797867874378
P114,omega_2,-1.617440945882286
P114,beta,1.8715419004828293
P114,b,-0.8853644027440348
P115,omega_2,-2.048211574805391
P115,beta,1.7173170135251503
P115,b,-0.2598565117865179
P116,omega_2,-2.0226077397213125
P116,beta,2.304544129190013
P116,b,-0.5317849672886115
P117,omega_2,-2.0128796829847797
P117,beta,1.6674546176169807
P117,b,-0.7296753768272587
P118,omega_2,-2.2555012075501177
P118,beta,1.77192032259946
P118,b,-0.23078339390384023
P119,omega_2,-1.9410525829326757
P119,beta,1.4121683001541174
P119,b,-0.6478415339344412
P120,omega_2,-3.0980119239696604
P120,beta,3.716880129399362
P120,b,0.09337767091555838
P121,omega_2,-1.6113038348886617
P121,beta,4.449397920669032
P121,b,0.1152939503767445
P122,omega_2,-1.6984258883456653
P122,beta,4.230449805829547
P122,b,0.06281830835582218
P123,omega_2,-1.6452348985015057
P123,beta,3.9119360862742387
P123,b,-0.8529734807779337
P124,omega_2,-2.1773831736979434
P124,beta,4.449331215054091
P124,b,-0.6163232955024643
P125,omega_2,-2.071975176955675
P125,beta,3.8256354883111756
P125,b,0.05213127218099158
P126,omega_2,-2.555536464356779
P126,beta,3.098299837365137
P126,b,0.1792738085121747
P127,omega_2,-2.295140939615751
P127,beta,3.24563012678561
P127,b,-0.5208272477985789
P128,omega_2,-2.5119988873579393
P128,beta,2.663996351235844
P128,b,0.0039403475130192125
P129,omega_2,-2.4393415227825646
P129,beta,4.5427965361388365
P129,b,0.006953233114465858
P130,omega_2,-2.3128969956702883
P130,beta,4.1999893748802215
P130,b,-0.1448527565089748
P131,omega_2,-1.5529823620346066
P131,beta,3.952890031230104
P131,b,-0.3917115764452233
P132,omega_2,-2.6749574334719233
P132,beta,5.096758263769544
P132,b,0.3218934023539886
P133,omega_2,-1.4579940181216933
P133,beta,3.813303371299918
P133,b,-0.3521520246464635
P134,omega_2,-2.1049456083113576
P134,beta,4.328602222254662
P134,b,1.120921824608051
P135,omega_2,-1.8750852410319319
P135,beta,4.047012525879995
P135,b,0.3710963669358907
P136,omega_2,-2.1194036338742235
P136,beta,3.7916839290507687
P136,b,0.9199525184500196
P137,omega_2,-2.2493631096693583
P137,beta,2.7163983943607355
P137,b,-0.18558847933274927
P138,omega_2,-2.281642048494282
P138,beta,2.7668105638869642
P138,b,-0.08422247098585141
P139,omega_2,-2.34017201975726
P139,beta,3.7440170631119325
P139,b,-0.8292709127783625
P140,omega_2,-2.061111917688725
P140,beta,3.228444767040747
P140,b,-0.5201875689119313
P141,omega_2,-2.9568694019540684
P141,beta,3.4725421531280998
P141,b,-0.49579432381080835
P142,omega_2,-2.45259417904203
P142,beta,4.611667008924316
P142,b,-0.03589798088703766
P143,omega_2,-1.2352294818792284
P143,beta,4.020901489617467
P143,b,-0.14965489384544148
P144,omega_2,-2.112573799781194
P144,beta,3.6475191988268127
P144,b,0.0366574537423322
P145,omega_2,-2.621884425278348
P145,beta,3.409904156554313
P145,b,0.5923539850656162
P146,omega_2,-2.3798560834142504
P146,beta,3.55312245933824
P146,b,0.667850256218414
P147,omega_2,-1.9429727562635153
P147,beta,2.5912782108518715
P147,b,0.07040135168491343
P148,omega_2,-2.320860211701534
P148,beta,3.641646745482864
P148,b,0.09362875380095724
P149,omega_2,-2.21219658638104
P149,beta,3.8051914005079954
P149,b,0.6018983026123123
P150,omega_2,-2.759440621228737
P150,beta,3.4610278207762937
P150,b,0.21094704329146235
P151,omega_2,-1.1746341731686987
P151,beta,3.296278921865932
P151,b,0.5803004918107434
P152,omega_2,-2.127607869403387
P152,beta,3.449392967728991
P152,b,-0.3771176719975479
P153,omega_2,-1.2170445337424194
P153,beta,3.505558370707052
P153,b,-0.2275003999529177
P154,omega_2,-2.011781043967294
P154,beta,3.7401377107234235
P154,b,-0.03636177843342472
P155,omega_2,-2.1138210111637536
P155,beta,3.1847447290418556
P155,b,-1.0790254656723661
P156,omega_2,-1.8445873719379837
P156,beta,3.214464171074571
P156,b,0.28980068434988954
P157,omega_2,-2.055383117709602
P157,beta,3.2591622197445482
P157,b,-0.4945817325641294
P158,omega_2,-2.467839304169744
P158,beta,3.9852518973745363
P158,b,0.06169396126752067
P159,omega_2,-1.1497379975236752
P159,beta,3.571610654781908
P159,b,0.2305147434843853
